gt type, IBERT V6 GTX
device, XC6VLX240T
sw version, 14.6 P.68d (Build 14600.13.159.658)
date, 09/22/2014
time, 6:52 PM CEST
voltage interval, 
sweep test settings, RX Sampling Point, 0, 127, 
sweep test settings, TX Diff Swing, 590 mV (0110), 590 mV (0110), 
sweep test settings, TX Pre-Emphasis, 0.15 dB (0000), 0.15 dB (0000), 
sweep test settings, TX Post-Emphasis, 0.18 dB (00000), 0.18 dB (00000), 
sweep test settings, RX Eq, 0, 0, 
=======================================================
Iteration, Elapsed Time, TX Diff Swing, TX Pre-Emphasis, TX Post-Emphasis, RX Eq, RX Sampling Point(tap), Link, # Bits, # Errs, BER
1, 00:00:1, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 0, 0,  1.438E012,  1.438E012, 1
2, 00:00:2, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 1, 1, 5693585200, 530647755,  9.320E-002
3, 00:00:4, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 2, 0,  2.397E012,  2.397E012, 1
4, 00:00:7, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 3, 1, 4498210660, 416067579,  9.250E-002
5, 00:00:10, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 4, 1, 4496803220, 417563656,  9.286E-002
6, 00:00:13, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 5, 1, 4495214720, 415485520,  9.243E-002
7, 00:00:17, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 6, 0,  1.123E012,  1.123E012, 1
8, 00:00:21, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 7, 1, 4402210760, 406218541,  9.228E-002
9, 00:00:25, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 8, 1, 4502396560, 412792325,  9.168E-002
10, 00:00:29, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 9, 0,  1.125E012,  1.125E012, 1
