gt type, IBERT V7 GTH
device, XC7VX690T
sw version, 14.7 P.20131013 (Build 14700.13.286.464)
samples per ui, 65
ui width, 1
date, 05/08/2014
time, 0:55 PM CEST
voltage interval, 1
sweep test settings, RX Sampling Point, -32, 32, 
sweep test settings, TX Diff Swing, 250 mV (0000), 250 mV (0000), 
sweep test settings, TX Pre-Cursor, 0.00 dB (00000), 0.00 dB (00000), 
sweep test settings, TX Post-Cursor, 0.00 dB (00000), 0.00 dB (00000), 
=======================================================
Iteration, Elapsed Time, TX Diff Swing, TX Pre-Cursor, TX Post-Cursor, Voltage, RX Sampling Point(tap), Link, ES_VERT_OFFSET, ES_HORZ_OFFSET, BER
1, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -32, 1, 0x7f, 0xfe0,  2.528E-001
2, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -31, 1, 0x7f, 0xfe1,  2.516E-001
3, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -30, 1, 0x7f, 0xfe2,  2.491E-001
4, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -29, 1, 0x7f, 0xfe3,  2.510E-001
5, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -28, 1, 0x7f, 0xfe4,  2.467E-001
6, 00:00:3, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -27, 1, 0x7f, 0xfe5,  1.889E-001
7, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -26, 1, 0x7f, 0xfe6,  1.829E-001
8, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -25, 1, 0x7f, 0xfe7,  1.486E-001
9, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -24, 1, 0x7f, 0xfe8,  1.053E-001
10, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -23, 1, 0x7f, 0xfe9,  1.385E-002
11, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -22, 1, 0x7f, 0xfea,  5.077E-002
12, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -21, 1, 0x7f, 0xfeb,  5.065E-003
13, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -20, 1, 0x7f, 0xfec,  2.599E-006
14, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -19, 1, 0x7f, 0xfed,  2.285E-003
15, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -18, 1, 0x7f, 0xfee,  9.743E-005
16, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -17, 1, 0x7f, 0xfef,  2.037E-005
17, 00:00:4, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -16, 1, 0x7f, 0xff0,  3.427E-008
18, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -15, 1, 0x7f, 0xff1,  4.619E-008
19, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -14, 1, 0x7f, 0xff2,  2.980E-009
20, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -13, 1, 0x7f, 0xff3,  1.490E-009
21, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -12, 1, 0x7f, 0xff4,  1.490E-009
22, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -11, 1, 0x7f, 0xff5,  1.490E-009
23, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -10, 1, 0x7f, 0xff6,  1.490E-009
24, 00:00:5, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -9, 1, 0x7f, 0xff7,  1.490E-009
25, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -8, 1, 0x7f, 0xff8,  1.490E-009
26, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -7, 1, 0x7f, 0xff9,  1.490E-009
27, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -6, 1, 0x7f, 0xffa,  1.490E-009
28, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -5, 1, 0x7f, 0xffb,  1.490E-009
29, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -4, 1, 0x7f, 0xffc,  1.490E-009
30, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -3, 1, 0x7f, 0xffd,  1.490E-009
31, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -2, 1, 0x7f, 0xffe,  1.490E-009
32, 00:00:6, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, -1, 1, 0x7f, 0xfff,  1.490E-009
33, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 0, 1, 0x7f, 0x0,  1.490E-009
34, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 1, 1, 0x7f, 0x1,  1.490E-009
35, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 2, 1, 0x7f, 0x2,  1.490E-009
36, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 3, 1, 0x7f, 0x3,  1.490E-009
37, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 4, 1, 0x7f, 0x4,  1.490E-009
38, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 5, 1, 0x7f, 0x5,  1.490E-009
39, 00:00:7, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 6, 1, 0x7f, 0x6,  1.490E-009
40, 00:00:8, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 7, 1, 0x7f, 0x7,  1.490E-009
41, 00:00:8, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 8, 1, 0x7f, 0x8,  1.490E-009
42, 00:00:8, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 9, 1, 0x7f, 0x9,  1.490E-009
43, 00:00:8, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 10, 1, 0x7f, 0xa,  1.490E-009
44, 00:00:8, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 11, 1, 0x7f, 0xb,  1.490E-009
45, 00:00:8, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 12, 1, 0x7f, 0xc,  1.490E-009
46, 00:00:8, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 13, 1, 0x7f, 0xd,  1.490E-009
47, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 14, 1, 0x7f, 0xe,  1.490E-009
48, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 15, 1, 0x7f, 0xf,  1.490E-009
49, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 16, 1, 0x7f, 0x10,  1.490E-009
50, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 17, 1, 0x7f, 0x11,  6.659E-006
51, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 18, 1, 0x7f, 0x12,  9.519E-006
52, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 19, 1, 0x7f, 0x13,  1.258E-004
53, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 20, 1, 0x7f, 0x14,  9.552E-003
54, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 21, 1, 0x7f, 0x15,  2.046E-004
55, 00:00:9, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 22, 1, 0x7f, 0x16,  1.276E-003
56, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 23, 1, 0x7f, 0x17,  2.406E-002
57, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 24, 1, 0x7f, 0x18,  2.169E-002
58, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 25, 1, 0x7f, 0x19,  5.289E-002
59, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 26, 1, 0x7f, 0x1a,  1.430E-001
60, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 27, 1, 0x7f, 0x1b,  1.071E-001
61, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 28, 1, 0x7f, 0x1c,  1.471E-001
62, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 29, 1, 0x7f, 0x1d,  2.142E-001
63, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 30, 1, 0x7f, 0x1e,  2.077E-001
64, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 31, 1, 0x7f, 0x1f,  2.522E-001
65, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 127, 32, 1, 0x7f, 0x20,  2.491E-001
66, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -32, 1, 0x7e, 0xfe0,  2.547E-001
67, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -31, 1, 0x7e, 0xfe1,  2.541E-001
68, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -30, 1, 0x7e, 0xfe2,  2.522E-001
69, 00:00:10, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -29, 1, 0x7e, 0xfe3,  2.338E-001
70, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -28, 1, 0x7e, 0xfe4,  2.069E-001
71, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -27, 1, 0x7e, 0xfe5,  2.421E-001
72, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -26, 1, 0x7e, 0xfe6,  1.347E-001
73, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -25, 1, 0x7e, 0xfe7,  8.114E-002
74, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -24, 1, 0x7e, 0xfe8,  1.178E-001
75, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -23, 1, 0x7e, 0xfe9,  1.071E-001
76, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -22, 1, 0x7e, 0xfea,  8.391E-003
77, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -21, 1, 0x7e, 0xfeb,  1.080E-002
78, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -20, 1, 0x7e, 0xfec,  1.264E-002
79, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -19, 1, 0x7e, 0xfed,  9.885E-005
80, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -18, 1, 0x7e, 0xfee,  5.585E-005
81, 00:00:11, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -17, 1, 0x7e, 0xfef,  3.404E-005
82, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -16, 1, 0x7e, 0xff0,  2.143E-006
83, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -15, 1, 0x7e, 0xff1,  5.215E-008
84, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -14, 1, 0x7e, 0xff2,  1.490E-009
85, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -13, 1, 0x7e, 0xff3,  1.490E-009
86, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -12, 1, 0x7e, 0xff4,  1.490E-009
87, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -11, 1, 0x7e, 0xff5,  1.490E-009
88, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -10, 1, 0x7e, 0xff6,  1.490E-009
89, 00:00:12, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -9, 1, 0x7e, 0xff7,  1.490E-009
90, 00:00:13, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -8, 1, 0x7e, 0xff8,  1.490E-009
91, 00:00:13, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -7, 1, 0x7e, 0xff9,  1.490E-009
92, 00:00:13, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -6, 1, 0x7e, 0xffa,  1.490E-009
93, 00:00:13, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -5, 1, 0x7e, 0xffb,  1.490E-009
94, 00:00:13, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -4, 1, 0x7e, 0xffc,  1.490E-009
95, 00:00:13, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -3, 1, 0x7e, 0xffd,  1.490E-009
96, 00:00:13, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -2, 1, 0x7e, 0xffe,  1.490E-009
97, 00:00:14, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, -1, 1, 0x7e, 0xfff,  1.490E-009
98, 00:00:14, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 0, 1, 0x7e, 0x0,  1.490E-009
99, 00:00:14, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 1, 1, 0x7e, 0x1,  1.490E-009
100, 00:00:14, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 2, 1, 0x7e, 0x2,  1.490E-009
101, 00:00:14, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 3, 1, 0x7e, 0x3,  1.490E-009
102, 00:00:14, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 4, 1, 0x7e, 0x4,  1.490E-009
103, 00:00:14, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 5, 1, 0x7e, 0x5,  1.490E-009
104, 00:00:15, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 6, 1, 0x7e, 0x6,  1.490E-009
105, 00:00:15, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 7, 1, 0x7e, 0x7,  1.490E-009
106, 00:00:15, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 8, 1, 0x7e, 0x8,  1.490E-009
107, 00:00:15, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 9, 1, 0x7e, 0x9,  1.490E-009
108, 00:00:15, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 10, 1, 0x7e, 0xa,  1.490E-009
109, 00:00:15, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 11, 1, 0x7e, 0xb,  1.490E-009
110, 00:00:15, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 12, 1, 0x7e, 0xc,  1.490E-009
111, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 13, 1, 0x7e, 0xd,  1.490E-009
112, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 14, 1, 0x7e, 0xe,  1.490E-009
113, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 15, 1, 0x7e, 0xf,  2.131E-007
114, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 16, 1, 0x7e, 0x10,  1.293E-006
115, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 17, 1, 0x7e, 0x11,  2.143E-005
116, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 18, 1, 0x7e, 0x12,  2.186E-004
117, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 19, 1, 0x7e, 0x13,  2.924E-005
118, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 20, 1, 0x7e, 0x14,  8.767E-003
119, 00:00:16, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 21, 1, 0x7e, 0x15,  3.344E-004
120, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 22, 1, 0x7e, 0x16,  7.529E-003
121, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 23, 1, 0x7e, 0x17,  5.254E-003
122, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 24, 1, 0x7e, 0x18,  1.530E-002
123, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 25, 1, 0x7e, 0x19,  3.759E-002
124, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 26, 1, 0x7e, 0x1a,  6.531E-002
125, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 27, 1, 0x7e, 0x1b,  1.540E-001
126, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 28, 1, 0x7e, 0x1c,  1.816E-001
127, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 29, 1, 0x7e, 0x1d,  1.962E-001
128, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 30, 1, 0x7e, 0x1e,  2.333E-001
129, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 31, 1, 0x7e, 0x1f,  2.392E-001
130, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 126, 32, 1, 0x7e, 0x20,  2.485E-001
131, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -32, 1, 0x7d, 0xfe0,  2.535E-001
132, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -31, 1, 0x7d, 0xfe1,  2.491E-001
133, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -30, 1, 0x7d, 0xfe2,  2.504E-001
134, 00:00:17, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -29, 1, 0x7d, 0xfe3,  2.485E-001
135, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -28, 1, 0x7d, 0xfe4,  2.467E-001
136, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -27, 1, 0x7d, 0xfe5,  2.392E-001
137, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -26, 1, 0x7d, 0xfe6,  2.116E-001
138, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -25, 1, 0x7d, 0xfe7,  1.896E-001
139, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -24, 1, 0x7d, 0xfe8,  1.188E-001
140, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -23, 1, 0x7d, 0xfe9,  6.891E-002
141, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -22, 1, 0x7d, 0xfea,  3.626E-002
142, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -21, 1, 0x7d, 0xfeb,  1.391E-002
143, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -20, 1, 0x7d, 0xfec,  1.861E-004
144, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -19, 1, 0x7d, 0xfed,  2.890E-005
145, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -18, 1, 0x7d, 0xfee,  3.481E-006
146, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -17, 1, 0x7d, 0xfef,  7.367E-006
147, 00:00:18, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -16, 1, 0x7d, 0xff0,  2.980E-007
148, 00:00:19, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -15, 1, 0x7d, 0xff1,  3.576E-008
149, 00:00:19, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -14, 1, 0x7d, 0xff2,  1.490E-009
150, 00:00:19, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -13, 1, 0x7d, 0xff3,  1.490E-009
151, 00:00:19, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -12, 1, 0x7d, 0xff4,  1.490E-009
152, 00:00:19, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -11, 1, 0x7d, 0xff5,  1.490E-009
153, 00:00:19, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -10, 1, 0x7d, 0xff6,  1.490E-009
154, 00:00:19, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -9, 1, 0x7d, 0xff7,  1.490E-009
155, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -8, 1, 0x7d, 0xff8,  1.490E-009
156, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -7, 1, 0x7d, 0xff9,  1.490E-009
157, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -6, 1, 0x7d, 0xffa,  1.490E-009
158, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -5, 1, 0x7d, 0xffb,  1.490E-009
159, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -4, 1, 0x7d, 0xffc,  1.490E-009
160, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -3, 1, 0x7d, 0xffd,  1.490E-009
161, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -2, 1, 0x7d, 0xffe,  1.490E-009
162, 00:00:20, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, -1, 1, 0x7d, 0xfff,  1.490E-009
163, 00:00:21, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 0, 1, 0x7d, 0x0,  1.490E-009
164, 00:00:21, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 1, 1, 0x7d, 0x1,  1.490E-009
165, 00:00:21, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 2, 1, 0x7d, 0x2,  1.490E-009
166, 00:00:21, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 3, 1, 0x7d, 0x3,  1.490E-009
167, 00:00:21, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 4, 1, 0x7d, 0x4,  1.490E-009
168, 00:00:21, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 5, 1, 0x7d, 0x5,  1.490E-009
169, 00:00:21, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 6, 1, 0x7d, 0x6,  1.490E-009
170, 00:00:22, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 7, 1, 0x7d, 0x7,  1.490E-009
171, 00:00:22, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 8, 1, 0x7d, 0x8,  1.490E-009
172, 00:00:22, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 9, 1, 0x7d, 0x9,  1.490E-009
173, 00:00:22, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 10, 1, 0x7d, 0xa,  1.490E-009
174, 00:00:22, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 11, 1, 0x7d, 0xb,  1.490E-009
175, 00:00:22, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 12, 1, 0x7d, 0xc,  1.490E-009
176, 00:00:22, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 13, 1, 0x7d, 0xd,  1.490E-009
177, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 14, 1, 0x7d, 0xe,  1.490E-009
178, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 15, 1, 0x7d, 0xf,  1.490E-009
179, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 16, 1, 0x7d, 0x10,  1.490E-009
180, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 17, 1, 0x7d, 0x11,  1.560E-005
181, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 18, 1, 0x7d, 0x12,  4.709E-007
182, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 19, 1, 0x7d, 0x13,  8.719E-006
183, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 20, 1, 0x7d, 0x14,  5.996E-004
184, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 21, 1, 0x7d, 0x15,  3.246E-004
185, 00:00:23, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 22, 1, 0x7d, 0x16,  1.091E-003
186, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 23, 1, 0x7d, 0x17,  3.514E-003
187, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 24, 1, 0x7d, 0x18,  9.951E-002
188, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 25, 1, 0x7d, 0x19,  5.714E-002
189, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 26, 1, 0x7d, 0x1a,  5.087E-002
190, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 27, 1, 0x7d, 0x1b,  1.900E-001
191, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 28, 1, 0x7d, 0x1c,  1.486E-001
192, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 29, 1, 0x7d, 0x1d,  1.704E-001
193, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 30, 1, 0x7d, 0x1e,  2.004E-001
194, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 31, 1, 0x7d, 0x1f,  2.498E-001
195, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 125, 32, 1, 0x7d, 0x20,  2.427E-001
196, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 124, -32, 1, 0x7c, 0xfe0,  2.541E-001
197, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 124, -31, 1, 0x7c, 0xfe1,  2.528E-001
198, 00:00:24, 250 mV (0000), 0.00 dB (00000), 0.00 dB (00000), 124, -30, 1, 0x7c, 0xfe2,  2.432E-001
