gt type, IBERT V6 GTX
device, XC6VLX240T
sw version, 14.6 P.68d (Build 14600.13.159.658)
date, 09/23/2014
time, 6:42 PM CEST
voltage interval, 
sweep test settings, RX Sampling Point, 0, 127, 
sweep test settings, TX Diff Swing, 590 mV (0110), 590 mV (0110), 
sweep test settings, TX Pre-Emphasis, 0.15 dB (0000), 0.15 dB (0000), 
sweep test settings, TX Post-Emphasis, 0.18 dB (00000), 0.18 dB (00000), 
sweep test settings, RX Eq, 0, 0, 
=======================================================
Iteration, Elapsed Time, TX Diff Swing, TX Pre-Emphasis, TX Post-Emphasis, RX Eq, RX Sampling Point(tap), Link, # Bits, # Errs, BER
1, 00:00:3, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 0, 0,  6.865E010,  6.865E010, 1
2, 00:00:5, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 2, 1, 4902368360, 423687030,  8.642E-002
3, 00:00:6, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 4, 1, 4895293900, 422950264,  8.640E-002
4, 00:00:7, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 6, 1, 4901566900, 425068808,  8.672E-002
5, 00:00:8, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 8, 1, 4908757300, 425582621,  8.670E-002
6, 00:00:9, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 10, 0,  4.421E012,  4.421E012, 1
7, 00:00:10, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 12, 1, 4903168780, 427201504,  8.713E-002
8, 00:00:12, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 14, 1, 4911190660, 429290712,  8.741E-002
9, 00:00:13, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 16, 0,  4.424E012,  4.424E012, 1
10, 00:00:14, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 18, 1, 4902369980, 437120642,  8.917E-002
11, 00:00:15, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 20, 1, 4904760560, 457091342,  9.319E-002
12, 00:00:16, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 22, 0,  4.420E012,  4.420E012, 1
13, 00:00:17, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 24, 1, 4903073740, 508548198,  1.037E-001
14, 00:00:18, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 26, 1, 4902350800, 558948753,  1.140E-001
15, 00:00:19, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 28, 1, 4903117520, 631255249,  1.287E-001
16, 00:00:20, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 30, 1, 4903117500, 747648493,  1.525E-001
17, 00:00:22, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 32, 1, 4903073700, 887149655,  1.809E-001
18, 00:00:23, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 34, 0,  4.421E012,  4.421E012, 1
19, 00:00:24, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 36, 0,  4.423E012,  4.423E012, 1
20, 00:00:25, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 38, 0,  4.416E012,  4.416E012, 1
21, 00:00:26, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 40, 1, 4903168780, 180005871,  3.671E-002
22, 00:00:27, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 42, 1, 4902356100, 52985775,  1.081E-002
23, 00:00:28, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 44, 1, 4903146960, 27580730,  5.625E-003
24, 00:00:29, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 46, 1, 4900804960, 10339230,  2.110E-003
25, 00:00:30, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 48, 1, 4903891760, 3857666,  7.867E-004
26, 00:00:32, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 50, 1, 4903192280, 641851,  1.309E-004
27, 00:00:33, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 52, 1, 4903945700, 92559,  1.887E-005
28, 00:00:34, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 54, 1, 4903144200, 10532,  2.148E-006
29, 00:00:35, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 56, 1, 4902367860, 231,  4.712E-008
30, 00:00:36, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 58, 1, 4903146920, 0,  2.040E-010
31, 00:00:37, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 60, 1, 4903171460, 0,  2.039E-010
32, 00:00:38, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 62, 1, 4901107340, 0,  2.040E-010
33, 00:00:39, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 64, 1, 4903969720, 0,  2.039E-010
34, 00:00:40, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 66, 1, 4905634740, 0,  2.038E-010
35, 00:00:42, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 68, 1, 4906437840, 0,  2.038E-010
36, 00:00:43, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 70, 1, 4904032880, 0,  2.039E-010
37, 00:00:44, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 72, 1, 4904030140, 0,  2.039E-010
38, 00:00:45, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 74, 1, 4904772900, 0,  2.039E-010
39, 00:00:46, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 76, 1, 4904035500, 0,  2.039E-010
40, 00:00:47, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 78, 1, 4903234040, 0,  2.039E-010
41, 00:00:48, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 80, 1, 4904028040, 0,  2.039E-010
42, 00:00:49, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 82, 1, 4904015140, 0,  2.039E-010
43, 00:00:50, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 84, 1, 4904816620, 0,  2.039E-010
44, 00:00:51, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 86, 1, 4913692320, 0,  2.035E-010
45, 00:00:53, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 88, 1, 4905639500, 0,  2.038E-010
46, 00:00:54, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 90, 1, 4904833780, 0,  2.039E-010
47, 00:00:55, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 92, 1, 4904816700, 0,  2.039E-010
48, 00:00:56, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 94, 1, 4904030100, 0,  2.039E-010
49, 00:00:57, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 96, 1, 4900834360, 1,  2.040E-010
50, 00:00:58, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 98, 1, 4904858400, 48,  9.786E-009
51, 00:00:59, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 100, 1, 4904030680, 2870,  5.852E-007
52, 00:00:60, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 102, 1, 4906437820, 77589,  1.581E-005
53, 00:1:1, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 104, 1, 4904770200, 1026580,  2.093E-004
54, 00:1:3, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 106, 1, 4912046060, 5474575,  1.115E-003
55, 00:1:4, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 108, 1, 4903971860, 15999032,  3.262E-003
56, 00:1:5, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 110, 1, 4904853000, 33757482,  6.882E-003
57, 00:1:6, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 112, 1, 4901452580, 86398566,  1.763E-002
58, 00:1:7, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 114, 0,  4.422E012,  4.422E012, 1
59, 00:1:8, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 116, 0,  4.421E012,  4.421E012, 1
60, 00:1:9, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 118, 0,  4.414E012,  4.414E012, 1
61, 00:1:10, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 120, 1, 4904824140, 1024736128,  2.089E-001
62, 00:1:11, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 122, 0,  4.411E012,  4.411E012, 1
63, 00:1:13, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 124, 0,  4.429E012,  4.429E012, 1
64, 00:1:14, 590 mV (0110), 0.15 dB (0000), 0.18 dB (00000), 0, 126, 0,  4.422E012,  4.422E012, 1
